Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-34361,Tl9BiTe6,I4/m,-0.309,0,0.64,TRUE,544.472,16,TRUE,,8.582,tetragonal," 20.990349164192008,"
mp-568052,K2Ga3,I4/mmm,-0.146,0,0.276,TRUE,288.925,10,FALSE,,3.303,tetragonal," 31.259333329595957,"
mp-1025039,PbS2,I4/mcm,-0.73,0,0.807,TRUE,145.66,6,TRUE,,6.186,tetragonal," 13.507623999999998,"
mp-1094088,NbCoSn,F43m,-0.327,0,1.078,TRUE,53.274,3,TRUE,,8.433,cubic," 24.973000000000457,"
mp-11869,HfSnPd,F43m,-0.726,0,0.098,TRUE,64.421,3,FALSE,,10.404,cubic," 19.458673999999977,"
mp-866132,Na2TlSb,Fm3m,-0.321,0,0.477,TRUE,110.593,4,TRUE,,5.587,cubic," 35.049240999999924,"
mp-607477,CsSc3(CuTe3)2,C2/m,-0.967,0,0.037,TRUE,356.273,12,FALSE,,5.409,monoclinic," 11.85238390410901,"
mp-1228810,AsIrSe,P213,-0.516,0,1.491,FALSE,218.206,12,TRUE,,10.535,cubic," 17.525656,"
mp-23488,Tl5Se2I,I4/mcm,-0.451,0,0.71,TRUE,552.82,16,FALSE,,7.85,tetragonal," 10.89392100000002,"
mp-471,CdAs2,I4122,-0.087,0,0.193,TRUE,158.599,6,FALSE,,5.492,tetragonal," 15.036310666666667,"
